subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
18,11,OMR rightward,4,MOS3,1090,192,35,0.3817570085840339,0.21971573006550593,1.0310311953874318,0.7046287356119492
18,11,OMR rightward,5,MOS4,852,192,35,0.37090271342678155,0.18047790187236862,0.7898430349876722,0.37790616817973516
18,11,OMR rightward,6,MOS5,1066,192,35,0.33779017767033237,-0.10576518190292451,0.05406503470608467,-2.005560999789951
18,11,OMR rightward,7,IPN,92,192,35,0.302542705234206,0.2120673523236517,-0.7291523840620421,0.6409428047747509
18,11,OMR rightward,8,IO,14,192,35,0.2930018996843053,0.18189854852478676,-0.9411541129605663,0.3897355008178045
18,11,OMR rightward,9,Hc,68,192,35,0.24996122539263285,0.12566997491867782,-1.8975405852629774,-0.07846431496232188
18,11,OMR rightward,10,Ra,316,192,35,0.3814678149100653,-0.05304412263728386,1.0246051594990377,-1.5665672880016746
18,11,OMR rightward,11,T,921,192,35,0.363703101053175,0.2790084581291619,0.6298638526617438,1.1983429199868625
18,11,OMR rightward,12,aRF,468,192,35,0.341702169695653,0.039816740157036346,0.14099155977438335,-0.7933405090680414
18,11,OMR rightward,13,imRF,567,192,35,0.29601574831400435,0.21225619084654868,-0.8741848076128331,0.6425152110437042
18,11,OMR rightward,14,pRF,842,192,35,0.34057809990549526,0.1826544737125948,0.11601413646671326,0.3960298812542456
18,11,OMR rightward,16,Hb,254,192,35,0.30507466631263763,0.22229081654583055,-0.6728908741377715,0.7260707701218713
18,11,OMR rightward,17,Hi,414,192,35,0.302320698166747,0.24477472267163353,-0.7340854981353596,0.9132880518523633
18,11,OMR rightward,18,HR,84,192,35,0.34255123123362224,0.1407241409921571,0.1598581547436726,0.04688757163721054
18,11,OMR rightward,19,OG,37,192,35,0.2528632737405994,-0.017858006880308364,-1.833055541112547,-1.273582211929172
18,11,OMR rightward,20,OB,33,192,35,0.44456914422091803,-0.05359156269783513,2.4267499616048824,-1.5711256703162655
18,11,OMR rightward,21,OE,2,192,35,0.3710661923371361,-0.07239098641472855,0.793475622556127,-1.7276632837844783
18,11,OMR rightward,22,P,785,192,35,0.4185933528979336,0.1045320597416047,1.849554184877488,-0.25447390149763344
18,11,OMR rightward,24,PT,313,192,35,0.3493029257748573,0.11964788797174104,0.30988436670765596,-0.12860857113568802
18,11,OMR rightward,25,PO,463,192,35,0.32764501339272434,0.1987161949551868,-0.17136586371892618,0.5297714017056251
18,11,OMR rightward,26,PrT,303,192,35,0.3027240718685675,-0.09966922624185347,-0.72512232183637,-1.9548016592185373
