realization,null_type,max_relative_margin_error,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
32,root_pair_preserving,9.462638098113106e-16,OO_fraction,41,0.5536596232919905,0.00017333641567263735,0.41655777374872854,0.006745705222560031
33,strength_preserving,6.687461042448002e-16,DCApost,41,-0.04230294784041982,0.7928498380193594,-0.057839721254355415,0.7194435877452519
33,strength_preserving,6.687461042448002e-16,OO_fraction,41,0.2958278509375217,0.06039227025342572,0.18400418470657467,0.24947264211610035
33,root_pair_preserving,7.657935433611992e-16,DCApost,41,0.09226147037494611,0.5661585864639606,-0.007142857142857145,0.9646471793522318
33,root_pair_preserving,7.657935433611992e-16,OO_fraction,41,0.5104904406908716,0.0006494637240448093,0.3358605983321339,0.031805445744613005
34,strength_preserving,6.722308302397932e-16,DCApost,41,0.13869656553526935,0.3871389546876194,0.14163763066202095,0.37705179161896396
34,strength_preserving,6.722308302397932e-16,OO_fraction,41,0.3274804670248678,0.03661142757080503,0.22448803873990056,0.15822827728281227
34,root_pair_preserving,8.902758713991001e-16,DCApost,41,0.12651955571444323,0.43055494332677674,0.04878048780487806,0.7619901455885987
34,root_pair_preserving,8.902758713991001e-16,OO_fraction,41,0.5643387351878824,0.00012149759346448335,0.4054030885939509,0.008549954887858856
35,strength_preserving,7.112373034392401e-16,DCApost,41,0.2459775107590805,0.12108313131447099,0.18571428571428575,0.24502275154995207
35,strength_preserving,7.112373034392401e-16,OO_fraction,41,0.3172991004080362,0.04323376292683537,0.2154855292148449,0.17603372485989177
35,root_pair_preserving,7.447339514767001e-16,DCApost,41,0.1459396304386706,0.36258071055402813,0.09216027874564463,0.5665863714622094
35,root_pair_preserving,7.447339514767001e-16,OO_fraction,41,0.5564883792114229,0.00015795076864691783,0.4456845634548898,0.0034969712753249757
36,strength_preserving,7.793650873452509e-16,DCApost,41,-0.041273165880929885,0.7977860180434797,-0.07979094076655055,0.6199627651306494
36,strength_preserving,7.793650873452509e-16,OO_fraction,41,0.3436786889764391,0.027802511409069527,0.27302834835873774,0.08413975364667957
36,root_pair_preserving,7.011079047759087e-16,DCApost,41,0.18047349572663599,0.25883071535040847,0.08780487804878051,0.5851383002762269
36,root_pair_preserving,7.011079047759087e-16,OO_fraction,41,0.6249012243052307,1.2575521511933451e-05,0.4533890990591925,0.0029107779162860334
37,strength_preserving,7.004734302009613e-16,DCApost,41,-0.0738723311183582,0.6462243569917513,-0.11289198606271779,0.48220644459441486
37,strength_preserving,7.004734302009613e-16,OO_fraction,41,0.30196673565424714,0.05501031530172837,0.23260688875149568,0.14332788206340052
37,root_pair_preserving,9.936574912847463e-16,DCApost,41,0.16372120517707783,0.3063884096222683,0.06602787456445994,0.6816900240892849
37,root_pair_preserving,9.936574912847463e-16,OO_fraction,41,0.5123397860052382,0.0006159106600635432,0.386050713415151,0.012667880242161318
38,strength_preserving,7.625341217073199e-16,DCApost,41,0.17945154083593517,0.2615824465962855,0.10696864111498261,0.5056248344856
